Name,Sets Sets Played,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve 0,Serve 1,Serve 2,Serve 3,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Perfect PP%,Good GP%,Set Ast,Set TA,Set SE,Set A/S,Set PCT,Dig DS,Dig DE,Attack K,Attack E,Attack TA,Attack Atk%,Attack Atk% FBSO,Attack Atk% Trans,Attack Kill%,Attack K/S,Attack Error%,Attack ?,Block BS,Block BA,Block BE,Block B/S
"Samuel Fafchamps",1,0,0,5,1,0,2.2,,1,2,2,0,,,,,,,,,,,,,,,,,1,1,2,0,0,0,0.5,1,0.5,0,,,,
"Jolan Cox",1,0,0,8,1,0,1.67,,3,2,1,0,,,,,,,,,,1,2,0,1,0.5,1,0,3,2,5,0.2,0.33,0,0.6,3,0.4,0,,,,
"Landon Douglas Currie",1,,,,,,,,,,,,3,1,2,,6,0,2.17,0.5,0.67,,,,,,3,0,,,,,,,,,,,,,,
"Dawid Pawlun",1,0,0,4,1,0,1,,4,,,0,,,1,,1,0,1,0,0,9,16,0,9,0.6,1,0,,,,,,,,,,,1,1,0,1
"Miquel Angel Fornés",1,0,0,3,1,0,2,,1,1,1,0,,,,,,,,,,1,2,0,1,0.5,1,1,2,0,2,1,1,0,1,2,0,0,1,2,0,1
"Hampus Ekstrand",1,0,1,4,0.75,-0.25,2.5,,,2,2,0,1,2,1,,5,1,2,0.25,0.75,0,2,0,0,0,1,0,2,0,2,1,1,1,1,2,0,0,,,,
"Pierre Perin",1,0,0,2,1,0,1,,1,,,0,2,1,,1,4,0,2,0.5,0.75,,,,,,2,0,5,2,11,0.27,0.43,0,0.45,5,0.18,0,0,1,0,0
"Greenyard Maaseik",1,2,7,24,0.71,-0.21,2.22,2,4,4,13,0,5,7,10,,25,3,1.77,0.23,0.55,12,29,0,12,0.41,4,1,14,7,30,0.23,0.35,0,0.47,14,0.23,0,,,,
"Lindemans Aalst",1,0,1,26,0.96,-0.04,1.83,,10,7,6,0,6,4,4,1,16,1,2,0.4,0.67,11,22,0,11,0.52,9,1,13,5,22,0.36,0.47,0.14,0.59,13,0.23,0,2,4,0,2
