Name,Sets Sets Played,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve 0,Serve 1,Serve 2,Serve 3,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Perfect PP%,Good GP%,Set Ast,Set TA,Set SE,Set A/S,Set PCT,Dig DS,Dig DE,Attack K,Attack E,Attack TA,Attack Atk%,Attack Atk% FBSO,Attack Atk% Trans,Attack Kill%,Attack K/S,Attack Error%,Attack ?,Block BS,Block BA,Block BE,Block B/S
"Timo Lohmus",1,0,0,1,1,0,2,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berre Peters",1,0,1,2,0.5,-0.5,2.5,,,1,1,0,6,4,2,,12,0,2.33,0.5,0.83,,,,,,2,0,4,1,7,0.43,0.8,-0.5,0.57,4,0.14,0,,,,
"Max Schulz",1,0,1,2,0.5,-0.5,2.5,,,1,1,0,,,1,,1,0,1,0,0,0,2,0,0,0,,,2,1,5,0.2,0,0.5,0.4,2,0.2,0,,,,
"Nezar Harouk",1,0,0,4,1,0,2.25,,1,1,2,0,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,
"Mihkel Varblane",1,1,1,4,0.75,0,1.33,1,1,,1,0,,,,,,,,,,,,,,,,,0,1,1,-1,-1,0,0,0,1,0,1,0,0,1
"Alvaro Gimeno Rubio",1,0,3,3,0,-1,3,,,,3,0,,,,,,,,,,,,,,,,,4,1,7,0.43,0.5,0,0.57,4,0.14,0,,,,
"Lucas Lorente López",1,0,0,3,1,0,2,,,1,,0,,,,,,,,,,10,16,0,10,0.62,1,0,0,0,1,0,0,0,0,0,0,0,,,,
"Bert Dufraing",1,,,,,,,,,,,,2,1,1,,4,0,2.25,0.5,0.75,0,1,0,0,0,1,0,,,,,,,,,,,,,,
"Matis Verwimp",1,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,,,,,,
"total_b",1,1,7,25,0.72,-0.24,2.36,1,4,5,15,0,2,5,2,,12,3,2,0.22,0.78,12,19,0,12,0.63,9,1,14,1,21,0.62,0.55,0.7,0.67,14,0.05,0,,,,
"total_a",1,1,6,19,0.68,-0.26,2.25,1,2,5,8,0,8,5,4,,17,0,2.24,0.47,0.76,10,20,0,10,0.5,5,0,10,4,21,0.29,0.4,0,0.48,10,0.19,0,1,0,0,1
