Name,Sets Sets Played,Serve SA,Serve SE,Serve TA,Serve Pct,Serve Eff,Serve Rtg.,Serve 0,Serve 1,Serve 2,Serve 3,Serve ?,Receive 3,Receive 2,Receive 1,Receive 0,Receive TA,Receive ?,Receive Pass%,Perfect PP%,Good GP%,Set Ast,Set TA,Set SE,Set A/S,Set PCT,Dig DS,Dig DE,Attack K,Attack E,Attack TA,Attack Atk%,Attack Atk% FBSO,Attack Atk% Trans,Attack Kill%,Attack K/S,Attack Error%,Attack ?,Block BS,Block BA,Block BE,Block B/S
"Samuel Fafchamps",1,0,1,3,0.67,-0.33,2.33,,,2,1,0,,,,,,,,,,0,1,0,0,0,,,,,,,,,,,,,1,0,0,1
"Renet Vancker",1,,,,,,,,,,,,,,,,,,,,,0,3,0,0,0,1,0,,,,,,,,,,,,,,
"Andris Sirjakovs",1,,,,,,,,,,,,,1,,,1,0,2,0,1,,,,,,,,0,2,3,-0.67,-0.5,-1,0,0,0.67,0,,,,
"Jolan Cox",1,0,2,3,0.33,-0.67,2.33,,1,,2,0,,,,,,,,,,,,,,,5,0,1,1,6,0,0,0,0.17,1,0.17,0,,,,
"Landon Douglas Currie",1,,,,,,,,,,,,2,2,1,,5,0,2.2,0.4,0.8,0,2,0,0,0,3,1,,,,,,,,,,,,,,
"Dawid Pawlun",1,0,0,2,1,0,1.5,,1,1,,0,,,,,,,,,,6,17,0,6,0.35,4,0,1,1,2,0,0,0,0.5,1,0.5,0,,,,
"Tijmen Bus",1,0,1,1,0,-1,3,,,,1,0,,,1,,2,1,1,0,0,0,1,0,0,0,1,0,0,2,4,-0.5,-0.5,-0.5,0,0,0.5,0,,,,
"Miquel Angel Fornés",1,1,0,3,1,0.33,1.33,1,1,,1,0,,,1,,1,0,1,0,0,,,,,,,,1,0,2,0.5,0.5,0,0.5,1,0,0,1,0,0,1
"Hampus Ekstrand",1,1,0,2,1,0.5,1,1,,1,,0,,2,3,1,6,0,1.17,0,0.33,1,2,0,1,0.5,,,3,1,8,0.25,0.5,0,0.38,3,0.12,0,,,,
"Piere Perin",1,2,1,4,0.75,0.25,1.5,2,,,2,0,1,2,4,,7,0,1.57,0.14,0.43,0,5,0,0,0,2,0,2,1,6,0.17,0,0.33,0.33,2,0.17,0,,,,
"Greenyard Maaseik",1,1,2,25,0.92,-0.04,1.67,1,11,7,5,0,2,4,4,,10,0,1.8,0.2,0.6,9,24,0,9,0.38,15,0,10,4,27,0.22,0.6,0,0.37,10,0.15,0,,,,
"Lindemans Aalst",1,4,5,18,0.72,-0.06,1.78,4,3,4,7,0,3,7,10,1,22,1,1.57,0.14,0.48,7,31,0,7,0.23,16,1,8,8,31,0,0.06,-0.07,0.26,8,0.26,0,2,0,0,2
